crime_id,Month,LSOAcode,crime_type,outcome,Longitude,Latitude,LAname
474,2017-01,E01005098,Burglary,Investigation complete; no suspect identified,-2.230359,53.534051,Manchester
475,2017-01,E01005098,Burglary,Investigation complete; no suspect identified,-2.23603,53.536556,Manchester
476,2017-01,E01005098,Burglary,Investigation complete; no suspect identified,-2.239317,53.536047,Manchester
477,2017-01,E01005102,Burglary,Investigation complete; no suspect identified,-2.235239,53.5353,Manchester
478,2017-01,E01005102,Burglary,Investigation complete; no suspect identified,-2.235239,53.5353,Manchester
479,2017-01,E01005103,Burglary,Investigation complete; no suspect identified,-2.22962,53.531446,Manchester
480,2017-01,E01005101,Burglary,Investigation complete; no suspect identified,-2.221912,53.531622,Manchester
481,2017-01,E01005135,Burglary,Investigation complete; no suspect identified,-2.212194,53.531217,Manchester
482,2017-01,E01005136,Burglary,Investigation complete; no suspect identified,-2.2169,53.525088,Manchester
483,2017-01,E01005136,Burglary,Defendant found not guilty,-2.2169,53.525088,Manchester
484,2017-01,E01005140,Burglary,Investigation complete; no suspect identified,-2.227932,53.523332,Manchester
485,2017-01,E01005140,Burglary,Investigation complete; no suspect identified,-2.211985,53.522598,Manchester
486,2017-01,E01005140,Burglary,Unable to prosecute suspect,-2.216333,53.520388,Manchester
487,2017-01,E01005140,Burglary,Investigation complete; no suspect identified,-2.221837,53.520072,Manchester
488,2017-01,E01005139,Burglary,Investigation complete; no suspect identified,-2.196705,53.525662,Manchester
489,2017-01,E01005141,Burglary,Investigation complete; no suspect identified,-2.191742,53.52229,Manchester
490,2017-01,E01005141,Burglary,Investigation complete; no suspect identified,-2.193922,53.520678,Manchester
491,2017-01,E01005251,Burglary,Investigation complete; no suspect identified,-2.17368,53.52408,Manchester
492,2017-01,E01033685,Burglary,Investigation complete; no suspect identified,-2.181957,53.526521,Manchester
493,2017-01,E01033687,Burglary,Investigation complete; no suspect identified,-2.189601,53.522267,Manchester
494,2017-01,E01005104,Burglary,Investigation complete; no suspect identified,-2.238453,53.524696,Manchester
495,2017-01,E01005104,Burglary,Investigation complete; no suspect identified,-2.238453,53.524696,Manchester
496,2017-01,E01005104,Burglary,Offender given community sentence,-2.236745,53.532115,Manchester
497,2017-01,E01005160,Burglary,Investigation complete; no suspect identified,-2.240227,53.53964,Manchester
498,2017-01,E01005160,Burglary,Investigation complete; no suspect identified,-2.246924,53.521056,Manchester
499,2017-01,E01005160,Burglary,Investigation complete; no suspect identified,-2.240227,53.53964,Manchester
500,2017-01,E01005162,Burglary,Investigation complete; no suspect identified,-2.253694,53.52062,Manchester
501,2017-01,E01005162,Burglary,Investigation complete; no suspect identified,-2.251595,53.520265,Manchester
502,2017-01,E01005162,Burglary,Investigation complete; no suspect identified,-2.249432,53.52168,Manchester
503,2017-01,E01005163,Burglary,Investigation complete; no suspect identified,-2.236727,53.51821,Manchester
504,2017-01,E01005163,Burglary,Investigation complete; no suspect identified,-2.24557,53.518983,Manchester
505,2017-01,E01005163,Burglary,Investigation complete; no suspect identified,-2.236727,53.51821,Manchester
506,2017-01,E01005163,Burglary,Unable to prosecute suspect,-2.239489,53.518456,Manchester
507,2017-01,E01005163,Burglary,Investigation complete; no suspect identified,-2.24557,53.518983,Manchester
508,2017-01,E01005248,Burglary,Investigation complete; no suspect identified,-2.176572,53.508535,Manchester
509,2017-01,E01005248,Burglary,Investigation complete; no suspect identified,-2.176759,53.510035,Manchester
510,2017-01,E01005249,Burglary,Investigation complete; no suspect identified,-2.180436,53.513086,Manchester
511,2017-01,E01005249,Burglary,Investigation complete; no suspect identified,-2.179436,53.51537,Manchester
512,2017-01,E01005250,Burglary,Investigation complete; no suspect identified,-2.175026,53.521255,Manchester
513,2017-01,E01005253,Burglary,Investigation complete; no suspect identified,-2.16303,53.51987,Manchester
514,2017-01,E01005254,Burglary,Investigation complete; no suspect identified,-2.162535,53.516662,Manchester
515,2017-01,E01005254,Burglary,Investigation complete; no suspect identified,-2.163506,53.518171,Manchester
516,2017-01,E01005254,Burglary,Investigation complete; no suspect identified,-2.162535,53.516662,Manchester
517,2017-01,E01005205,Burglary,Investigation complete; no suspect identified,-2.214314,53.508778,Manchester
518,2017-01,E01005205,Burglary,Investigation complete; no suspect identified,-2.213855,53.516563,Manchester
519,2017-01,E01005206,Burglary,Investigation complete; no suspect identified,-2.217356,53.511047,Manchester
520,2017-01,E01005207,Burglary,Investigation complete; no suspect identified,-2.207286,53.514642,Manchester
521,2017-01,E01005223,Burglary,Investigation complete; no suspect identified,-2.198544,53.515754,Manchester
522,2017-01,E01005223,Burglary,Unable to prosecute suspect,-2.201407,53.515102,Manchester
523,2017-01,E01005223,Burglary,Status update unavailable,-2.196159,53.515128,Manchester
524,2017-01,E01005223,Burglary,Investigation complete; no suspect identified,-2.200759,53.515301,Manchester
525,2017-01,E01005223,Burglary,Offender sent to prison,-2.197049,53.515181,Manchester
526,2017-01,E01005223,Burglary,Investigation complete; no suspect identified,-2.203454,53.514379,Manchester
527,2017-01,E01005224,Burglary,Investigation complete; no suspect identified,-2.204193,53.511259,Manchester
528,2017-01,E01005224,Burglary,Investigation complete; no suspect identified,-2.201969,53.509735,Manchester
529,2017-01,E01005225,Burglary,Investigation complete; no suspect identified,-2.187428,53.508581,Manchester
530,2017-01,E01005226,Burglary,Investigation complete; no suspect identified,-2.194692,53.51434,Manchester
531,2017-01,E01005226,Burglary,Investigation complete; no suspect identified,-2.196122,53.513726,Manchester
532,2017-01,E01005226,Burglary,Investigation complete; no suspect identified,-2.195034,53.513216,Manchester
533,2017-01,E01005229,Burglary,Investigation complete; no suspect identified,-2.186166,53.519926,Manchester
534,2017-01,E01005229,Burglary,Investigation complete; no suspect identified,-2.192026,53.514874,Manchester
535,2017-01,E01005145,Burglary,Investigation complete; no suspect identified,-2.23955,53.507903,Manchester
536,2017-01,E01005146,Burglary,Investigation complete; no suspect identified,-2.229383,53.504247,Manchester
537,2017-01,E01005146,Burglary,Investigation complete; no suspect identified,-2.230385,53.502897,Manchester
538,2017-01,E01005149,Burglary,Investigation complete; no suspect identified,-2.237481,53.509948,Manchester
539,2017-01,E01005149,Burglary,Investigation complete; no suspect identified,-2.239442,53.51025,Manchester
540,2017-01,E01005165,Burglary,Investigation complete; no suspect identified,-2.243572,53.51514,Manchester
541,2017-01,E01005165,Burglary,Investigation complete; no suspect identified,-2.242404,53.516589,Manchester
542,2017-01,E01005165,Burglary,Investigation complete; no suspect identified,-2.249858,53.517275,Manchester
543,2017-01,E01005165,Burglary,Investigation complete; no suspect identified,-2.249858,53.517275,Manchester
544,2017-01,E01005165,Burglary,Investigation complete; no suspect identified,-2.24365,53.518277,Manchester
545,2017-01,E01005165,Burglary,Investigation complete; no suspect identified,-2.24554,53.516439,Manchester
546,2017-01,E01005166,Burglary,Investigation complete; no suspect identified,-2.238426,53.517236,Manchester
547,2017-01,E01005166,Burglary,Investigation complete; no suspect identified,-2.237194,53.51811,Manchester
548,2017-01,E01005166,Burglary,Investigation complete; no suspect identified,-2.238746,53.515069,Manchester
549,2017-01,E01005166,Burglary,Investigation complete; no suspect identified,-2.236172,53.515991,Manchester
550,2017-01,E01005167,Burglary,Investigation complete; no suspect identified,-2.235787,53.511821,Manchester
551,2017-01,E01005167,Burglary,Investigation complete; no suspect identified,-2.236116,53.514103,Manchester
552,2017-01,E01005167,Burglary,Investigation complete; no suspect identified,-2.235787,53.511821,Manchester
553,2017-01,E01005167,Burglary,Investigation complete; no suspect identified,-2.232855,53.513274,Manchester
554,2017-01,E01005167,Burglary,Investigation complete; no suspect identified,-2.233117,53.514451,Manchester
555,2017-01,E01005167,Burglary,Investigation complete; no suspect identified,-2.235787,53.511821,Manchester
556,2017-01,E01005167,Burglary,Investigation complete; no suspect identified,-2.235179,53.513728,Manchester
557,2017-01,E01005167,Burglary,Investigation complete; no suspect identified,-2.226601,53.51129,Manchester
558,2017-01,E01005167,Burglary,Investigation complete; no suspect identified,-2.235179,53.513728,Manchester
559,2017-01,E01005167,Burglary,Investigation complete; no suspect identified,-2.234867,53.511751,Manchester
560,2017-01,E01005202,Burglary,Investigation complete; no suspect identified,-2.199023,53.502037,Manchester
561,2017-01,E01005202,Burglary,Investigation complete; no suspect identified,-2.209696,53.508067,Manchester
562,2017-01,E01005202,Burglary,Investigation complete; no suspect identified,-2.209502,53.508319,Manchester
563,2017-01,E01005203,Burglary,Investigation complete; no suspect identified,-2.217095,53.51005,Manchester
