rowlabel	sex	age	livharm1	ethgrp2	educat3	work	yrsarea	resyrago	tenure1	rural2	rubbcomm	vandcomm	poorhou	tcemdiqu2	tcwmdiqu2	causem	walkdark	walkday	homealon	tcviolent	tcsteal	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	winsult	wraceatt	crimerat	tcarea	tcneigh	bcsvictim	tcindwt
73388100	2	46	4	1	1	2	6	 	4	1	3	3	3		1	5	2	1	2	 	 	3	3	 	 	3	3	3	4	3	0.484943062	-0.10193526	0	0.211482421
73388260	2	27	3	1	1	2	4	 	4	1	1	2	1		1	5	3	2	2	 	 	1	3	 	 	3	3	3	4	3	-0.136904091	3.304653168	0	0.290686876
73481100	2	70	1	1	3	2	7	 	1	1	4	4	4		1	4	4	3	1	0.8430655	0.293444335	2	3	3	2	3	1	1	4	2	0.370631278	-0.674552023	0	0.506053746
73481220	1	64	1	1	4	1	5	 	2	1	4	4	4		1	1	2	1	1	-0.751286089	-0.197748601	3	4	3	3	4	3	3	4	3	-1.157287478	-0.406339437	0	0.495753825
73482180	1	68	1	1	1	2	5	 	1	2	1	2	2		1	4	3	1	1	 	 	3	3	 	 	 	3	3	 	4	-0.580088079	0.149498686	0	0.517250478
73484060	2	60	1	1	1	2	7	 	1	1	3	4	3		1	4	4	3	2	1.887841463	1.669651389	1	1	1	1	1	1	2	2	3	1.332212806	-1.046290636	0	0.432985872
73484140	1	51	5	1	2	2	7	 	2	1	4	4	3		1	5	3	2	3	 	 	3	2	2	2	 	4	3	4	1	1.791511536	-0.982477129	1	0.224923655
73484300	1	76	6	1	1	2	7	 	4	1	3	4	4		1	4	1	1	1	 	 	3	3	 	 	 	4	4	4	3	-0.758567095	-0.408498645	0	0.208083302
73486140	2	16	3	1	2	2	5	1	5	2	3	3	3		1	5	4	2	2	 	 	3	2	 	 	2	2	2	2	2	1.12092638	-0.19157508	0	1.565055847
73486180	2	24	3	1	1	2	1	2	4	2	3	3	3		1	4	2	2	2	 	 	2	3	 	 	3	3	3	3	 	-1.472669125	0.354271472	0	0.583732903
73486220	2	28	1	1	4	1	1	2	2	2	3	3	3		1	1	2	1	2	-0.706124902	0.319619328	3	3	3	2	3	3	4	4	 	-0.346204132	-0.505894423	0	1.121682882
73583180	1	27	1	3	4	1	1	2	2	1	2	3	3		1	9	2	1	2	3.292798281	-1.745501637	1	1	4	4	3	1	1	1	 	3.014182568	1.404204726	0	1.003113747
73583220	1	51	1	1	4	1	7	 	2	1	1	1	2		1	10	2	2	1	-0.14172186	-0.05160502	2	3	3	3	3	3	3	4	3	0.232635319	1.556130171	1	1.287045956
73677060	2	67	6	1	2	2	7	 	1	1	4	4	4		1	4	3	2	2	-0.881943047	-0.630452454	3	3	3	4	4	4	4	4	2	-0.253781855	-0.619670928	0	0.193205029
73678100	2	28	3	1	2	2	7	 	4	1	3	4	4		1	5	2	1	2	0.405663311	0.488157481	3	3	2	2	3	2	2	3	3	1.617275715	-0.104446024	0	0.292994976
73678260	2	52	1	1	3	2	7	 	1	1	4	4	3		1	5	3	1	1	-0.668431222	-0.348044485	3	4	3	3	3	3	4	4	3	-0.929720402	-0.544832408	0	0.748164356
73680020	2	77	1	1	1	2	7	 	1	2	4	4	4		1	5	2	1	1	-0.439837962	-0.298942655	3	3	3	3	3	3	4	4	3	-0.87561667	-0.549401462	0	1.16247201
73680060	2	45	1	1	5	1	7	 	2	2	3	4	3		1	5	2	1	1	0.578261912	0.277309626	2	2	2	3	2	2	3	4	2	-0.418373972	-0.81031996	0	1.455899358
73680100	2	16	3	1	2	2	6	2	4	2	 	 	 		1	5	2	2	2	 	 	2	2	 	 	2	2	3	3	3	-1.535676122	1.154586554	0	0.620482743
73775100	2	18	3	1	2	2	5	 	4	2	4	3	4		1	6	4	3	4	 	 	1	3	 	 	1	1	1	4	1	0.98537761	1.510320544	0	0.591208637
73775140	2	55	1	1	1	2	7	 	2	2	3	3	3		1	5	4	2	3	 	 	3	3	 	 	4	2	3	4	2	0.106000438	1.647957921	0	0.494842231
73775220	1	27	3	1	4	1	7	 	2	2	4	4	4		1	7	1	1	1	-0.714755595	0.985726893	3	3	2	2	4	3	2	4	2	1.464311242	-0.365883052	0	0.86119169
73777260	2	71	6	1	1	2	5	 	4	1	3	3	3		1	9	1	1	1	-1.334428191	-0.411080241	4	4	2	4	4	4	4	4	4	-1.022142649	-0.431055874	0	0.501819432
73869220	1	17	3	1	2	2	6	 	4	1	 	 	 		1	5	1	1	1	 	 	4	4	 	 	4	4	4	4	5	-0.167884544	-0.602586925	1	0.809419334
73871020	1	43	3	1	1	2	7	 	4	1	3	3	3		1	5	2	1	1	 	 	3	3	 	 	4	3	3	4	2	-1.472669125	0.354271472	0	0.222625941
73871060	2	80	6	1	1	2	7	 	1	1	3	3	3		1	5	4	1	1	-0.81391865	-0.097593457	3	3	3	3	4	3	4	4	2	-1.261035204	-0.430027872	0	0.513127267
73875180	1	27	3	1	4	1	1	2	3	1	2	3	2		1	2	3	2	1	0.331437558	-0.236301228	3	2	3	3	4	2	2	4	 	0.550890326	0.185773313	0	1.236357808
73875260	2	44	2	1	3	1	6	 	2	1	4	4	4		1	1	2	1	1	0.596310377	0.54642731	3	2	2	2	2	2	2	4	2	 	 	0	1.486401439
