rowlabel	sex	age	livharm1	ethgrp2	educat3	work	yrsarea	resyrago	tenure1	rural2	rubbcomm	vandcomm	poorhou	tcemdiqu2	tcwmdiqu2	causem	walkdark	walkday	homealon	tcviolent	tcsteal	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	winsult	wraceatt	crimerat	tcarea	tcneigh	bcsvictim	tcindwt
71128020	2	86	6	1	1	2	7	 	1	1	4	4	4	5	 	1	1	1	1	 	 	3	4	 	 	4	4	4	4	3	-1.26103520393372	-.43002787232399	0	.906221687793732
71128060	1	92	6	1	1	2	7	 	2	1	4	4	4	5	 	1	4	2	2	 	 	3	3	 	 	4	4	4	4	2	-1.26103520393372	-.43002787232399	0	.731411516666412
71128100	2	40	4	1	2	1	6	 	4	1	1	4	4	2	 	1	1	1	1	-.90042507648468	-1.54481017589569	4	4	4	4	4	4	4	4	2	-1.26103520393372	-.43002787232399	0	1.4207398891449
71128220	1	45	1	1	3	1	5	 	2	1	4	4	4	5	 	8	2	2	2	-.488398194313049	-1.75532746315002	4	4	4	4	4	4	4	3	2	-.300688952207565	-.710898876190186	0	1.50752365589142
71128260	1	52	3	1	3	1	4	 	1	1	4	4	4	4	 	8	1	1	1	-.751286089420319	-.197748601436615	3	4	3	3	4	3	3	4	2	-1.26103520393372	-.43002787232399	0	.732868194580078
71128300	1	41	3	1	4	1	6	 	2	1	4	4	4	4	 	4	1	1	1	-.893534719944	-1.24641919136047	3	4	4	4	4	4	4	4	4	-1.26103520393372	-.43002787232399	0	.786647856235504
71129060	1	28	3	2	4	2	1	2	4	1	2	2	2	1	 	7	1	1	1	 	 	2	2	 	 	 	2	3	2	 	.0504624471068382	-.0102431522682309	1	1.93758845329285
71130100	1	50	4	3	1	2	1	2	4	1	3	3	3	1	 	4	2	2	2	 	 	3	3	 	 	 	3	3	4	 	-1.0507550239563	2.73556900024414	0	.833012640476227
71130140	2	30	1	1	4	1	4	 	2	1	3	3	3	1	 	2	3	2	2	1.01522755622864	.634301066398621	2	2	2	2	2	2	2	3	3	.857982039451599	1.36315107345581	1	1.74215161800385
71130220	2	29	5	3	1	2	1	2	4	1	3	2	3	1	 	3	3	2	2	 	 	4	2	 	 	3	3	3	3	 	.65958571434021	.852193295955658	0	.983681321144104
71130260	2	66	6	1	1	2	7	 	4	1	2	2	2	1	 	4	3	2	2	 	 	1	1	 	 	2	2	3	1	1	.864452600479126	3.05278587341309	0	.77874094247818
71131060	2	21	3	3	4	1	6	 	4	1	1	2	2	3	 	8	2	1	1	 	 	4	3	 	 	3	3	4	3	2	.982148468494415	.822123408317566	0	2.69585490226746
71131100	2	30	1	2	2	1	1	2	4	1	4	4	4	3	 	3	2	2	2	2.00838851928711	.643044650554657	1	1	1	3	1	1	2	3	 	 	 	0	1.52932214736938
71131140	1	48	1	1	4	2	6	 	2	1	4	4	3	3	 	2	2	1	1	-1.38371360301971	-.359383255243301	4	4	3	3	4	4	4	4	2	-.400309681892395	.107076972723007	0	1.50419080257416
71132020	2	23	3	3	4	1	7	 	5	1	 	 	 	3	 	1	3	2	3	2.20176863670349	-.812696397304535	2	2	3	3	2	2	1	2	1	-.153367087244987	4.06847953796387	0	5.20601320266724
71132060	2	70	1	1	2	2	7	 	1	1	 	 	 	3	 	1	4	2	3	1.14150333404541	1.96587157249451	1	1	1	1	1	2	2	3	3	.967702209949493	-.327867567539215	0	1.44591021537781
71132140	2	32	1	3	4	1	3	 	2	1	 	 	 	5	 	1	3	2	2	1.69354140758514	-.194778129458427	2	2	2	3	2	2	2	2	 	.463534861803055	.70244312286377	0	1.53577983379364
71134020	2	 	6	1	1	2	7	 	1	1	3	4	3	2	 	3	3	2	1	2.29986834526062	1.45913422107697	1	1	1	1	1	1	2	1	1	 	 	1	 
71136140	2	28	3	1	4	1	4	1	4	1	3	3	4	2	 	6	2	1	1	 	 	2	2	 	 	3	3	3	3	2	1.41117060184479	-1.0797370672226	0	3.89319944381714
71137140	1	42	3	1	4	1	6	 	2	1	3	3	3	3	 	10	2	1	1	 	 	4	3	 	 	4	3	3	4	 	.353880077600479	1.62875354290009	1	.789252877235413
71137180	1	45	1	1	4	1	7	 	1	1	3	3	3	3	 	5	1	1	1	-1.41921830177307	.289095610380173	2	4	4	2	4	4	4	4	3	 	 	1	1.51251602172852
71166140	1	58	1	3	1	1	5	 	1	1	3	3	3	2	 	4	3	2	2	.679093062877655	.826482236385345	2	2	2	2	4	2	2	2	2	1.91198313236237	-1.20592403411865	0	4.38516235351563
71167100	1	54	3	1	1	1	7	 	4	1	3	4	4	4	 	4	3	1	2	 	 	2	2	4	4	 	2	4	2	2	1.65864908695221	-.859951972961426	0	.62449038028717
71167140	2	79	6	1	1	2	7	 	1	1	4	4	4	5	 	1	4	2	1	-.429457932710648	-.849824607372284	2	2	4	4	4	4	4	4	3	-1.26103520393372	-.43002787232399	0	.704211890697479
71167220	1	53	1	1	5	1	7	 	2	1	3	4	4	4	 	4	2	2	1	 	 	1	1	1	1	 	1	1	1	3	.0929891318082809	-.739302694797516	0	1.87347102165222
71168180	2	45	1	1	1	2	7	 	4	1	2	3	3	1	 	10	4	2	1	1.0891181230545	-.157756343483925	3	4	2	2	1	1	4	2	4	 	 	1	1.176513671875
71170060	2	40	1	1	1	1	5	 	4	1	4	4	4	1	 	9	3	2	2	-.148612171411514	-.349995970726013	3	3	3	3	3	3	3	4	4	1.42584455013275	.616214275360107	1	1.21074831485748
71170100	2	39	5	1	2	1	5	 	2	1	4	4	4	1	 	5	3	1	1	.0279311183840036	-.908005952835083	4	4	3	3	3	3	3	3	3	-1.05353975296021	-.382651001214981	0	1.23531079292297
71171020	1	54	6	1	1	2	7	 	4	1	1	1	1	1	 	5	2	2	2	 	 	3	3	 	 	4	4	3	3	3	1.12320458889008	-1.12264406681061	0	1.25665616989136
71173140	1	29	1	3	1	1	6	 	1	1	2	2	3	2	 	5	3	3	2	 	 	1	1	2	1	 	2	2	1	1	2.22671508789063	-.330968230962753	0	3.64853000640869
71173260	2	71	1	1	1	2	7	 	2	1	3	3	3	2	 	1	2	1	1	 	 	1	1	2	2	 	1	4	4	2	-.0853681340813637	-.55457067489624	0	1.22895956039429
71173300	2	72	1	3	1	2	7	 	4	1	1	2	2	1	 	5	1	1	1	 	 	4	4	4	4	 	4	 	4	4	-.654819369316101	-.384810209274292	0	1.22895956039429
71174060	2	70	6	2	1	2	7	 	4	1	2	3	2	1	 	4	2	1	1	2.37142181396484	-1.66909730434418	4	3	3	3	2	2	1	1	5	-.161446839570999	-.713902235031128	1	.690938472747803
71193180	2	43	5	1	4	1	7	 	2	1	3	3	3	3	 	4	2	1	1	2.80809569358826	.841215848922729	1	1	2	1	1	1	1	1	2	2.63736343383789	.977916300296783	1	.672406136989594
71193260	2	67	1	1	1	2	7	 	1	1	3	3	3	4	 	8	3	2	3	1.52957189083099	-.858684837818146	3	2	3	3	3	2	2	2	1	.525119423866272	-.266588538885117	1	1.29748558998108
71194140	1	61	1	1	4	1	6	 	1	1	4	4	2	2	 	1	1	1	1	-1.76783907413483	1.90936398506165	4	4	1	1	4	4	2	4	1	2.06920695304871	-1.04927158355713	1	1.33122444152832
71194300	1	19	3	1	3	1	6	 	1	1	4	4	4	2	 	5	1	1	1	 	 	4	4	2	2	 	4	3	 	3	-1.26103520393372	-.43002787232399	1	3.54724097251892
71216220	2	25	2	1	4	1	7	2	2	1	3	3	3	4	 	2	2	2	2	-1.14823007583618	-.011890466324985	3	3	3	3	4	4	4	4	3	-.413349628448486	1.12609684467316	0	1.41900670528412
71218060	2	22	3	1	2	2	5	 	4	1	2	2	2	1	 	4	3	1	2	 	 	2	1	 	 	2	3	2	4	3	1.15621817111969	3.55964732170105	1	.834704220294952
71218140	1	20	3	1	2	1	7	 	1	1	3	3	3	1	 	4	1	1	1	-.90042507648468	-1.54481017589569	4	4	4	4	4	4	4	4	4	.595633029937744	.724876046180725	0	2.47373676300049
71218260	2	46	3	3	3	1	6	 	1	1	3	3	3	2	 	4	3	1	1	.270305007696152	-.262122243642807	2	3	3	3	3	3	3	3	3	-.999233841896057	2.63964581489563	0	.639227569103241
71240020	2	54	1	1	1	2	7	 	1	1	4	4	4	3	 	5	2	1	2	.561530768871307	-.313175559043884	2	3	3	3	3	3	2	3	3	1.27788305282593	-.835433006286621	0	1.43279266357422
71240060	2	56	2	1	4	1	7	 	2	1	3	4	3	4	 	5	1	1	1	-1.11742663383484	-.9779452085495	4	4	3	4	4	4	4	4	5	1.12344682216644	-.933217942714691	0	1.43607008457184
71241060	2	22	2	1	1	1	2	1	2	1	3	3	3	1	 	5	2	1	4	1.3550136089325	2.03963255882263	1	1	1	1	1	1	1	4	 	1.42242085933685	-.227003812789917	1	1.96867537498474
71242060	1	26	3	1	2	1	2	1	4	2	4	4	4	3	 	5	1	1	1	-1.00598132610321	1.03678011894226	3	3	2	2	4	3	3	4	 	-1.26103520393372	-.43002787232399	0	.839374601840973
71242180	2	70	1	5	4	2	5	 	1	2	4	4	4	3	 	8	1	1	1	-.90042507648468	-1.54481017589569	4	4	4	4	4	4	4	4	3	-1.03445935249329	.4090735912323	0	1.4140043258667
71281020	1	45	1	1	3	1	7	1	2	1	4	4	4	4	 	5	2	1	1	-1.04251182079315	-.146695300936699	3	4	3	3	4	3	4	4	3	-.578175067901611	-.565669000148773	0	1.32034659385681
71281140	2	42	3	1	4	1	6	 	 	1	4	4	4	4	 	9	3	2	3	-.206093192100525	1.2216956615448	1	3	2	2	3	3	3	3	1	-.296765327453613	.107574492692947	1	1.2447829246521
71281180	1	35	2	1	2	1	1	2	4	1	4	4	4	2	 	5	1	1	1	-1.41451692581177	.606671512126923	3	3	3	2	4	4	4	4	 	-.937847018241882	-.417227864265442	1	1.4445583820343
71283100	2	64	1	1	1	2	7	 	1	1	2	3	2	2	 	5	3	2	2	.263414680957794	-.560513198375702	3	3	3	3	3	3	3	3	3	.403650164604187	.79675430059433	0	1.21435642242432
71283180	1	50	1	1	3	1	6	 	2	1	2	3	3	2	 	1	2	1	1	-.664941489696503	-1.19731736183167	3	3	4	4	4	4	4	4	3	1.41275632381439	-.931445479393005	0	2.52267909049988
71308220	1	65	1	1	5	2	4	 	4	1	4	4	4	1	 	4	2	1	1	 	 	2	3	 	 	4	2	3	3	4	.167104348540306	-.774613261222839	0	1.43909084796906
71309060	1	28	2	1	5	1	7	 	4	1	3	4	3	3	 	5	1	1	1	 	 	3	4	4	3	 	4	4	4	1	1.16312849521637	-.881020247936249	1	1.6323573589325
